Código institución,Nombre institución,Código del registro,Nombre del registro,Tipo de registro,Estado registro,Descripción del registro,Área responsable,Cargo del o la responsable,Tipo de inicio,Acto de inicio,Acto de término,Producto institucional relacionado,Número Ley,URL de la Ley en LeyChile (Biblioteca del Congreso Nacional de Chile),Otras fuentes normativas,Pago asociado,Tipo de usuario(a),Segmento de usuarios(as),Relación con el Registro Social de Hogares (RSH) y/o con el Registro de Información Social (RIS) para la selección de sus usuarios,Disponibilidad para su realización,Nivel de digitalización,Canal digital - Canales transaccionales,Canal presencial - Canales transaccionales,Canal telefónico - Canales transaccionales,Módulos de autoatención - Canales transaccionales,URL del inicio,Ficha ChileAtiende relacionada,URL de ficha ChileAtiende,Número de plataformas electrónicas que intervienen en el soporte electrónico,Alcance de las plataformas electrónicas que soportan el registro,Utiliza SIMPLE con modalidad Saas como plataforma para la digitalización,Utiliza SIMPLE con modalidad On premise como plataforma para la digitalización,Utiliza Plataformas desarrolladas por la institución (equipo propio) como plataforma para la digitalización,Utiliza Plataformas desarrolladas por la institución (provisto externamente) como plataforma para la digitalización,Utiliza  Plataformas transversales provistas por el Estado como plataforma para la digitalización,No utiliza mecanismo de autenticación - Autenticación,Utiliza ClaveÚnica - Autenticación,Utiliza Clave Tributaria - Autenticación,Utiliza un mecanismo de autenticación propio - Autenticación,Mecanismo de autenticación digital para funcionarios,Firma electrónica Avanzada,Notificación(es) practicada(s),Tiene etapa Inicio,Tiene etapa Instrucción,Tiene etapa Finalización,Medio utilizado para notificar en la etapa de iniciación,Medio utilizado para notificar en la etapa de instrucción,Medio utilizado para notificar en la etapa de finalización,"Dato, documentos(certificados) y/o expedientes en poder de otros órganos de la Administración del Estado",Documento(s) notarial(es),Nombre del documento notarial relacionado,Medio utilizado para enviar comunicaciones oficiales entre órganos de la Administración del Estado,Fecha de creación,Fecha de actualización
PE-GOR-00036,Gobierno Regional de la Región de Antofagasta,PA-GOR00036-00001,Declaraciones de intereses y patrimonio,Procedimiento administrativo de función común,Completado,"Gestión para transparentar, en los funcionarios/honorarios desde el grado 8 hasta el más alto jerárquicamente y consejeros regionales, sus bienes tangibles e intangibles y su participación en organizaciones con o sin fines de lucro. Lo anterior, en cumplimiento de La Ley N° 20.880 de Probidad en la Función Pública y Prevención de Conflictos de Intereses para los Organismos Autónomos. Esta ley regula la obligación de las autoridades y funcionarios de declarar sus intereses y patrimonio en forma pública. Dicha obligación resulta aplicable a distintas autoridades, directivos y funcionarios, de acuerdo a los términos establecidos en la Ley de Probidad y lo dispuesto en materia de declaraciones de incompatibilidades, intereses y patrimonio.",Recursos humanos - gestión de personas,Encargado DGDP Departamento de Gestión y Desarrollo de Personas,Ambos tipos de inicio (oficio y a solicitud de partes).,"correo dirigido a los funcionarios instruyendo el inicio y llenado de su ingreso, actualización o cese de su declaración de intereses y patrimonio ",firma del gobernador a través de la pagina de contraloría,,20880,https://www.bcn.cl/leychile/navegar?idNorma=1086062,No,,,,,,Nivel 5,Sí,,,,https://www.declaracionjurada.cl/dip/index.html,,,1,Las plataformas electrónicas soportan todas las etapas de tramitación del procedimiento administrativo y/o trámite,,,,,Sí,,Sí,,,Utiliza ClaveÚnica como mecanismo de autenticación digital para funcionarios,No utiliza firma electrónica avanzada,No,,,,,,,Sí,,,No considera comunicaciones oficiales,2023-12-06 08:45:39,2024-10-15 10:45:38
PE-GOR-00036,Gobierno Regional de la Región de Antofagasta,PA-GOR00036-00002,Administración de uso de vehículos fiscales,Procedimiento administrativo de función común,Completado,Análisis y priorización de las solicitudes respecto al uso de vehículos. Posterior asignación y/o denegación a la unidad requirente a través de correo institucional.,Administración y finanzas,Encargada Unidad de Servicios Generales y Recursos Físicos SSGG,Ambos tipos de inicio (oficio y a solicitud de partes).,Correo electrónico de la unidad requirente,Correo electrónico de asignación a la unidad requirente,,18834,https://www.bcn.cl/leychile/navegar?idNorma=30210,Sí,,,,,,Nivel 5,Sí,,,,https://accounts.google.com/InteractiveLogin/signinchooser?continue=https%3A%2F%2Fmail.google.com%2Fmail%2F%3Fhl%3Des&emr=1&hl=es&ltmpl=default&ltmplcache=2&osid=1&passive=true&rm=false&scc=1&service=mail&ss=1&ifkv=ASKXGp2DoyEFckoxKof5vr6bgxHaZXSbmoHy4WRjSYMIeEoUbPiVfU2cI5pF0nJ3aR2xWAghRGWlrw&theme=glif&flowName=GlifWebSignIn&flowEntry=ServiceLogin,,,1,Las plataformas electrónicas soportan todas las etapas de tramitación del procedimiento administrativo y/o trámite,,,,Sí,,,,,Sí,No utiliza mecanismo de autenticación digital para funcionarios,No utiliza firma electrónica avanzada,Sí,Sí,,Sí,Sólo por medios electrónicos.,,Solo por medios eléctronicos,No,,,"Sí, realiza envíos por medios electrónicos propios y DOC Digital",2023-12-07 08:40:02,2024-10-21 15:56:42
PE-GOR-00036,Gobierno Regional de la Región de Antofagasta,PA-GOR00036-00003,Gestión de compras de bienes y servicios,Procedimiento administrativo de función común,Completado,"Adquisición de bienes y  servicios a través convenio marco, licitación pública, licitación privada, trato directo, compras ágil y/o menores a 3 UTM.  ",Administración y finanzas,Jefe División de Administración y Finanzas DAF,Ambos tipos de inicio (oficio y a solicitud de partes).,Solicitud de adquisición de bienes o servicios,Emisión de Orden de Compra del bien o servicio,,19886,https://www.bcn.cl/leychile/navegar?idNorma=213004,Sí,,,,,,Nivel 5,Sí,,,,https://www.mercadopublico.cl/Home,,,6,Las plataformas electrónicas soportan todas las etapas de tramitación del procedimiento administrativo y/o trámite,,,Sí,Sí,Sí,,Sí,,,No utiliza mecanismo de autenticación digital para funcionarios,No utiliza firma electrónica avanzada,Sí,,Sí,Sí,,Solo por medios eléctronicos,Solo por medios eléctronicos,Sí,,,No considera comunicaciones oficiales,2023-12-07 15:17:36,2024-10-21 15:44:45
PE-GOR-00036,Gobierno Regional de la Región de Antofagasta,PA-GOR00036-00004,Formulación de presupuestos del año siguiente,Procedimiento administrativo de función común,Completado,"Elaboración del proyecto de presupuestos para el año siguiente, a través de las estimaciones de ingresos y gastos de los programas 01 gastos de funcionamiento y 02 inversión regional.",Áreas asociadas al mandato institucional,Encargado del Departamento de Finanzas y Encargado de Inversiones,"Solicitud de partes: Solicitados por una parte interesada, cuya solicitud determina en principio y por sí misma el origen del procedimiento administrativo.",Correo dirigido a las distintas unidades para levantar los requerimientos de presupuesto para el año t+1,Resolución afecta de asignación presupuestaria,,21516,https://www.bcn.cl/leychile/navegar?idNorma=1186683&idParte=10389591&idVersion=2022-12-20,No,,,,,,Nivel 5,Sí,,,,https://geminis.dipres.cl/sitio/accesorestringuidodipres/acceso.aspx,,,2,Las plataformas electrónicas soportan todas las etapas de tramitación del procedimiento administrativo y/o trámite,,,,Sí,Sí,,,,Sí,No utiliza mecanismo de autenticación digital para funcionarios,No utiliza firma electrónica avanzada,No,,,,,,,Sí,,,"Sí, realiza envíos por medios electrónicos propios y DOC Digital",2023-12-11 11:01:23,2024-10-21 16:00:38
PE-GOR-00036,Gobierno Regional de la Región de Antofagasta,PA-GOR00036-00005,Definición y Modificación del Marco presupuestario de Inversión,Procedimiento administrativo de función común,Completado,"Da cuenta de la distribución de recursos del programa de inversión regional y de la inversión sectorial de asignación regional, con la respectiva descripción de directrices y prioridades.",Otro,Profesional Unidad de Control Presupuestario UCP- DIPIR,"Solicitud de partes: Solicitados por una parte interesada, cuya solicitud determina en principio y por sí misma el origen del procedimiento administrativo.",Correo electrónico dirigido a los analistas señalando ajustes presupuestarios,Resolución Afecta que define los Marcos Presupuestarios,,21516,https://www.bcn.cl/leychile/navegar?idNorma=1186683&idParte=10389591&idVersion=2022-12-20,No,,,,,,Nivel 5,,Sí,,,https://goreantofagasta.ceropapel.cl/principal.php,,,2,Las plataformas electrónicas soportan parcialmente las etapas de tramitación del procedimiento administrativo y/o trámite,,,,Sí,,,Sí,,Sí,Utiliza un mecanismo propio de autenticación digital para funcionarios,Utiliza firma electrónica avanzada del Estado (FirmaGob),Sí,,,Sí,,,Solo por medios eléctronicos,No,,,"Sí, realiza envíos por medios electrónicos propios y DOC Digital",2023-12-11 11:19:03,2024-10-21 14:42:48
PE-GOR-00036,Gobierno Regional de la Región de Antofagasta,PA-GOR00036-00006,Sumarios administrativos e investigaciones sumarias,Procedimiento administrativo de función común,Completado,Procesos administrativos para determinar responsabilidades administrativas.,Fiscalía - jurídica,Encargado Unidad Jurídica,"De oficio: Por propia iniciativa, como consecuencia de una orden superior, a petición de otros órganos o por denuncia.",Resolución que ordena el inicio de un Sumario Administrativo o investigación sumaria,Resolución dictada por el jefe del servicio que aprueba el informe del fiscal o investigador.,,18834,https://www.bcn.cl/leychile/navegar?idNorma=236392,No,,,,,,Nivel 1,,Sí,,,https://goreantofagasta.ceropapel.cl/login/index.php,,,1,Las plataformas electrónicas soportan parcialmente las etapas de tramitación del procedimiento administrativo y/o trámite,,,,Sí,,,,,Sí,No utiliza mecanismo de autenticación digital para funcionarios,Utiliza firma electrónica avanzada provista por un externo,Sí,Sí,Sí,Sí,Sólo por medio físicos,Ambos medios,Solo por medios físicos,No,,,No considera comunicaciones oficiales,2023-12-12 10:44:55,2023-12-12 16:44:38
PE-GOR-00036,Gobierno Regional de la Región de Antofagasta,PA-GOR00036-00007,Identificación presupuestaria de Inversión ,Procedimiento administrativo de función común,Completado,Identifica y asigna presupuesto a las iniciativas de inversión regional aprobadas.,Otro,Profesional Unidad de Control Presupuestario UCP- DIPIR,"Solicitud de partes: Solicitados por una parte interesada, cuya solicitud determina en principio y por sí misma el origen del procedimiento administrativo.",Correo electrónico dirigido a los analistas señalando ajustes presupuestarios,Resolución afecta que identifica el presupuesto asignado a las iniciativas de inversión.,,21516,https://www.bcn.cl/leychile/navegar?idNorma=1186683,No,,,,,,Nivel 5,Sí,,,,https://goreantofagasta.ceropapel.cl/expediente/expediente.php?id_expediente=20162415,,,2,Las plataformas electrónicas soportan parcialmente las etapas de tramitación del procedimiento administrativo y/o trámite,,,Sí,,,,Sí,,Sí,Utiliza un mecanismo propio de autenticación digital para funcionarios,Utiliza firma electrónica avanzada del Estado (FirmaGob),Sí,,,Sí,,,Solo por medios eléctronicos,Sí,,,"Sí, realiza envíos por medios electrónicos propios y DOC Digital",2023-12-14 11:30:10,2024-10-21 15:45:08
PE-GOR-00036,Gobierno Regional de la Región de Antofagasta,PA-GOR00036-00008,Administración de contratos de servicios,Procedimiento administrativo de función común,Completado,"Control, organización, planeación y seguimiento de los distintos contratos que el servicio tiene con proveedores externos para el funcionamiento del servicio.",Bienes y servicios,Encargada de Servicios Generales,"De oficio: Por propia iniciativa, como consecuencia de una orden superior, a petición de otros órganos o por denuncia.",Correo electrónico enviado por la Unidad de Licitaciones indicando la empresa que se adjudicó y señalando que unidad de servicios generales se debe hacer cargo de la administración de este contrato.,Envío a la unidad de licitación de un Correo electrónico indicando ultimo estado de pago y Recepción conforme del servicio.,,19175,https://www.bcn.cl/leychile/navegar?idNorma=30542,Sí,,,,,,Nivel 5,Sí,,,,https://www.google.com/,,,1,Las plataformas electrónicas soportan todas las etapas de tramitación del procedimiento administrativo y/o trámite,,,,Sí,,,,,Sí,No utiliza mecanismo de autenticación digital para funcionarios,No utiliza firma electrónica avanzada,No,,,,,,,No,,,No considera comunicaciones oficiales,2023-12-14 21:38:56,2024-10-21 15:57:30
PE-GOR-00036,Gobierno Regional de la Región de Antofagasta,PA-GOR00036-00009,"Reclutamiento, selección y contratación",Procedimiento administrativo de función común,Completado,Elección pública o privada de persona para trabajar en Gobierno Regional de Antofagasta.,Recursos humanos - gestión de personas,Encargado DGDP Departamento de Gestión y Desarrollo de Personas,"De oficio: Por propia iniciativa, como consecuencia de una orden superior, a petición de otros órganos o por denuncia.",Instrucción de Jefe DAF al encargado DGDP  ,Notificación al ganador del concurso,,18834,https://www.bcn.cl/leychile/navegar?idNorma=30210,Sí,,,,,,Nivel 5,Sí,,,,https://www.empleospublicos.cl/pub/convocatorias/convocatorias.aspx,,,4,Las plataformas electrónicas soportan todas las etapas de tramitación del procedimiento administrativo y/o trámite,,,,Sí,Sí,,Sí,,Sí,No utiliza mecanismo de autenticación digital para funcionarios,Utiliza firma electrónica avanzada del Estado (FirmaGob),Sí,Sí,Sí,Sí,Sólo por medios electrónicos.,Solo por medios eléctronicos,Solo por medios eléctronicos,Sí,,,"Sí, realiza envíos por medios electrónicos propios",2023-12-15 15:37:29,2024-10-21 15:10:53
PE-GOR-00036,Gobierno Regional de la Región de Antofagasta,PA-GOR00036-00010,Gestionar cometido funcionario,Procedimiento administrativo de función común,Completado,Gestión de cometidos funcionarios.,Recursos humanos - gestión de personas,Encargado DGDP Departamento de Gestión y Desarrollo de Personas,"Solicitud de partes: Solicitados por una parte interesada, cuya solicitud determina en principio y por sí misma el origen del procedimiento administrativo.",Solicitud de los funcionarios a través de SIGPER,Visación y Resolución Final por SIGPER y posterior carga en SIAPER,,18834,https://www.bcn.cl/leychile/navegar?idNorma=236392,No,,,,,,Nivel 3,,Sí,,,https://gre.sigper.cl,,,2,Las plataformas electrónicas soportan todas las etapas de tramitación del procedimiento administrativo y/o trámite,,,,Sí,Sí,,,,Sí,No utiliza mecanismo de autenticación digital para funcionarios,Utiliza firma electrónica avanzada del Estado (FirmaGob),Sí,Sí,Sí,Sí,Sólo por medios electrónicos.,Solo por medios eléctronicos,Solo por medios eléctronicos,No,,,"Sí, realiza envíos por medios electrónicos propios y DOC Digital",2023-12-15 15:41:05,2024-10-15 10:19:46
